ID,Source,Element,Preuve,Confiance,Severite,Impact,Recommandation,Reference OWASP,Statut
FIND-001,Yaazhini,Insecure Communication HTTP,ChangePassword.java + DoLogin.java + DoTransfer.java - CVSS 8.1,Forte,High,Interception credentials et transactions bancaires via MITM,Implementer SSL/TLS pour toutes les connexions,MASVS-NETWORK-1,Confirme
FIND-002,BeVigil+Yaazhini,Insecure HTTP Client,BeVigil CWE-757 + Yaazhini High(36),Forte,High,Communications non chiffrees - donnees sensibles exposees en transit,Remplacer DefaultHTTPClient par HttpClient avec TLS 1.2+,MASVS-NETWORK-1,Confirme
FIND-003,Yaazhini,MyBroadCastReceiver exporte,AndroidManifest.xml - exported=true,Forte,High,Application tierce peut envoyer broadcasts et declencher actions non autorisees,Definir exported=false ou ajouter permission custom,MASVS-PLATFORM-1,Confirme
FIND-004,Yaazhini,TrackUserContentProvider exporte,AndroidManifest.xml - exported=true,Forte,High,Acces aux donnees utilisateur depuis apps tierces sans permission,Definir exported=false sur le ContentProvider,MASVS-PLATFORM-2,Confirme
FIND-005,BeVigil+Yaazhini,Storage sensitive info Shared Preferences,BeVigil CWE-312 + Yaazhini Medium,Forte,Medium,Credentials et donnees sensibles stockes en clair sur lappareil,Utiliser EncryptedSharedPreferences ou Android Keystore,MASVS-STORAGE-1,Confirme
FIND-006,BeVigil+Yaazhini,Sensitive Information in Logs,BeVigil CWE-532 + Yaazhini Medium,Forte,Medium,Credentials visibles dans les logs Android accessibles via ADB,Desactiver logs debug en production - supprimer Log.d et Log.v,MASVS-STORAGE-3,Confirme
FIND-007,Yaazhini,Permissions excessives,AndroidManifest.xml - 10 permissions sensibles sur 12,Forte,Medium,Surface attaque elargie - acces SMS/Contacts/CallLog non justifie pour app bancaire,Supprimer SEND_SMS READ_CONTACTS READ_CALL_LOG ACCESS_COARSE_LOCATION,MASVS-PLATFORM-1,Confirme
FIND-008,BeVigil,Possible Secret Detected,resources/res/values/strings.xml - 1 fichier,Moyenne,Medium,Cle API ou credential hardcode potentiellement exploitable,Deplacer secrets vers Android Keystore - ne jamais hardcoder,MASVS-STORAGE-2,A confirmer
FIND-009,Yaazhini,Activities sensibles exposees,Activities tab - DoLogin + DoTransfer + ChangePassword exportees,Forte,Medium,Bypass possible de lauthentification via acces direct aux activites,Ajouter controles auth sur toutes les activites sensibles,MASVS-PLATFORM-1,Confirme
FIND-010,BeVigil,Weak Crypto Algorithms,BeVigil CWE-327 - 4 fichiers concernes,Forte,Medium,Algorithmes obsoletes (MD5/SHA1) - donnees chiffrees facilement cassables,Migrer vers AES-256 SHA-256 ou ECC,MASVS-CRYPTO-1,Confirme
FIND-011,Yaazhini,SDK version obsolete,AndroidManifest.xml - MinSDK 15 TargetSDK 22,Forte,Medium,Support appareils Android 4.0+ avec vulnerabilites non patchees,Augmenter minSdkVersion a 26+ et targetSdkVersion a 33+,MASVS-CODE-1,Confirme
FIND-012,Yaazhini,Librairies tierces obsoletes,Libraries tab - android.support.v4 et v7,Moyenne,Low,Librairies deprecated peuvent contenir CVE connus,Migrer vers AndroidX - mettre a jour toutes les dependances,MASVS-CODE-3,Confirme
FIND-013,BeVigil,CBC Padding Oracle Attack,BeVigil NA - 3 fichiers concernes,Moyenne,Medium,Dechiffrement possible des donnees chiffrees via oracle de padding,Migrer vers GCM ou CCM avec verification integrite,MASVS-CRYPTO-1,A confirmer
FIND-014,BeVigil,Non-parameterized SQL Query,BeVigil CWE-89 - 1 fichier,Moyenne,Medium,Injection SQL possible sur les requetes non parametrees,Utiliser des requetes parametrees ou un ORM,MASVS-CODE-4,A confirmer
FIND-015,Yaazhini,URLs HTTP en clair dans le code,Linked URLs - goo.gl + google-analytics HTTP,Forte,Low,URLs raccourcies et tracking non chiffre - risque de redirection malveillante,Remplacer toutes les URLs HTTP par HTTPS,MASVS-NETWORK-2,Confirme
